date,platform,account,campaign,country,device,spend,clicks,impressions,conversions
2025-01-01,Meta,AcctA,Prospecting,MX,Desktop,1115.94,360,15840,29
2025-01-01,Google,AcctA,Brand_Search,CA,Mobile,789.43,566,22640,28
2025-01-01,Google,AcctA,Prospecting,BR,Desktop,381.4,133,10241,12
2025-01-01,Google,AcctC,Prospecting,US,Desktop,1268.34,891,49005,36
2025-01-01,Google,AcctA,Brand_Search,BR,Desktop,1229.7,628,21352,31
2025-01-01,Google,AcctC,Retargeting,BR,Mobile,966.05,680,20400,54
2025-01-01,Google,AcctC,Prospecting,BR,Mobile,714.32,540,31860,16
2025-01-01,Google,AcctA,Prospecting,CA,Mobile,670.6,535,20330,32
2025-01-01,Meta,AcctA,Prospecting,MX,Mobile,1249.27,830,53120,24
2025-01-01,Google,AcctC,Retargeting,MX,Mobile,402.12,313,15963,8
2025-01-01,Google,AcctC,Prospecting,US,Desktop,894.38,377,22243,18
2025-01-02,Meta,AcctA,Prospecting,CA,Desktop,789.84,613,46588,25
2025-01-02,Google,AcctC,Brand_Search,MX,Desktop,398.69,271,17344,26
2025-01-02,Google,AcctB,Brand_Search,BR,Desktop,209.35,136,4488,5
2025-01-02,Google,AcctC,Prospecting,CA,Mobile,769.53,430,15910,17
2025-01-02,Google,AcctC,Retargeting,BR,Mobile,885.98,534,22962,50
2025-01-02,Meta,AcctC,Brand_Search,US,Desktop,723.41,339,12204,13
2025-01-02,Google,AcctB,Brand_Search,BR,Mobile,1069.67,435,16530,33
2025-01-02,Google,AcctC,Brand_Search,US,Mobile,1260.83,994,63616,80
2025-01-02,Google,AcctC,Prospecting,CA,Desktop,345.43,166,8134,6
2025-01-02,Google,AcctC,Retargeting,BR,Mobile,438.53,232,7888,12
2025-01-02,Meta,AcctC,Prospecting,US,Desktop,1086.22,617,28999,50
2025-01-03,Meta,AcctA,Prospecting,BR,Mobile,917.18,471,14130,13
2025-01-03,Google,AcctC,Generic_Search,MX,Mobile,986.28,649,27907,48
2025-01-03,Google,AcctC,Prospecting,BR,Mobile,1345.12,994,52682,42
2025-01-03,Meta,AcctA,Brand_Search,CA,Desktop,273.94,151,6191,3
2025-01-03,Google,AcctA,Brand_Search,US,Desktop,416.2,225,9675,20
2025-01-03,Google,AcctC,Generic_Search,CA,Desktop,1424.07,832,55744,56
2025-01-03,Google,AcctB,Prospecting,MX,Desktop,1070.64,489,22494,25
2025-01-03,Google,AcctA,Retargeting,US,Mobile,544.76,376,22184,16
